2024-10-03 15:39:08,654 - INFO - Excluded strings: ['<!-- FigureContent="Stores.', '" Per" -->', '<!-- PageHeader="Imperial Honours.', 'http://www.hathitrust.org/access use#cc-zero', 'http://www.hathitrust. org/access use#cc-zero', 'org/access', 'use#cc-zero', '/'], Excluded patterns: ['http[s]?://(?:[a-zA-Z]|[0-9]|[$-_@.&+]|[!*\\\\(\\\\),]|(?:%[0-9a-fA-F][0-9a-fA-F]))+', '<!--\\s*[a-zA-Z]+\\s*="[^"]*"\\s*-->']
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA" -->', 'polygon': [3.837, 9.6616, 5.1638, 9.6616, 5.1638, 9.7683, 3.837, 9.7683], 'spans': [{'offset': 26889, 'length': 29}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="[HOUSE.]" -->', 'polygon': [2.6012, 0.6867, 3.2515, 0.69, 3.2515, 0.8434, 2.6012, 0.84], 'spans': [{'offset': 33959, 'length': 30}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="Breach of" -->', 'polygon': [1.464, 0.69, 2.0409, 0.69, 2.0409, 0.8334, 1.464, 0.8334], 'spans': [{'offset': 33926, 'length': 31}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageNumber="1901.]" -->', 'polygon': [0.5503, 0.7, 0.8804, 0.7, 0.8804, 0.8367, 0.5536, 0.8334], 'spans': [{'offset': 27784, 'length': 28}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-04-28 23:23 GMT / https://hdl.handle.net/2027/uc1.32106019788253', 'polygon': [0.0167, 9.7005, 0.0167, 5.047, 0.1134, 5.047, 0.1134, 9.7005], 'spans': [{'offset': 34128, 'length': 82}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust. org/access use#cc-zero', 'polygon': [0.1301, 9.7072, 0.1334, 5.457, 0.2301, 5.457, 0.2268, 9.7072], 'spans': [{'offset': 34052, 'length': 75}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': 'Google" -->', 'polygon': [1.3873, 9.5872, 2.0743, 9.5872, 2.0743, 9.8139, 1.3873, 9.8106], 'spans': [{'offset': 33851, 'length': 11}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageFooter="Digitized by', 'polygon': [0.9238, 9.6672, 1.3706, 9.6739, 1.3673, 9.7639, 0.9238, 9.7606], 'spans': [{'offset': 33821, 'length': 29}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="Privilege." -->', 'polygon': [3.9051, 0.6934, 4.4621, 0.7, 4.4587, 0.8434, 3.9018, 0.8367], 'spans': [{'offset': 33991, 'length': 32}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageNumber="389" -->', 'polygon': [5.1257, 0.6967, 5.3425, 0.7, 5.3391, 0.8167, 5.1257, 0.82], 'spans': [{'offset': 34025, 'length': 25}]}
